会社名,所在地,ECサイトURL,カートシステム,業種・取扱商品,公式サイト
株式会社ジブ（JIB）,西宮市甲子園一番町7-18,https://fortunejib.stores.jp/,STORES,バッグ・アクセサリー（セイルクロス素材）,https://jib.ne.jp/
coffee beans 豆之助（株式会社清和）,西宮市すみれ台3-6-12,https://cb-mamenosuke.stores.jp/,STORES,自家焙煎珈琲豆・ドリップコーヒー,
フラットデザイン株式会社,西宮市戸田町5番16号,http://flatdesign.shop-pro.jp/,カラーミーショップ,西宮市観光キャラクター・みやたんグッズ販売,http://www.flatdesign.co.jp/
ゆげ焙煎所,西宮市櫨塚町3-10,https://yuge-roaster.stores.jp/,STORES,自家焙煎スペシャルティコーヒー,https://yugecoffee.com/
REAL（リアル）,西宮市樋之池町2-15-105,https://realkurakuen.thebase.in/,BASE,セレクトアパレル・雑貨,
