法人番号,会社名,都道府県,市区町村,番地,郵便番号,公式URL,ECサイトURL,業種判定
1120901018714,株式会社ＡＩＲ,兵庫県,西宮市,鳴尾町１丁目８番１１号,6638184,https://air-jpn.com/,https://air-jpn.shop/shop,健康・サプリ
1120901026907,株式会社理研,兵庫県,西宮市,鳴尾町１丁目３番１６号,6638184,https://www.riken.jp/,https://rinkan-online.com/,ペット・園芸
1120901035412,細見機工株式会社,兵庫県,西宮市,石刎町８番７−１０３号,6620074,https://www.drk.co.jp/,https://www.drk.co.jp/,食品・飲料、雑貨・インテリア、ペット・園芸
1120901038778,スタークリーン株式会社,兵庫県,西宮市,老松町２番８号フェリエ苦楽園１階,6620085,https://star-clean.jp/,,食品・飲料、雑貨・インテリア
1120901041204,株式会社ＫＩＮＯＥＮＥ,兵庫県,西宮市,笠屋町３２−１４−ＮＯ．１,6638136,https://kinoene.com/,https://kinoene.com/,食品・飲料、ペット・園芸
1122001026390,ヴェスタ株式会社,兵庫県,西宮市,小松南町１丁目５番１号,6638124,https://vestainc.jp/,https://vesta-ic.com/ic/1,ペット・園芸
1130001067314,株式会社アトラストレーディング,兵庫県,西宮市,門戸東町２番２５号,6620824,https://www.atlus.co.jp/,,アパレル・ファッション
1130001079301,株式会社東悦,兵庫県,西宮市,石刎町１５番１８号１０３号室,6620074,https://touetsujp.com/,https://touetsujp.com/,食品・飲料、アパレル・ファッション、コスメ・美容、雑貨・インテリア、スポーツ・アウトドア、ペット・園芸、健康・サプリ
1130003006476,株式会社ラフェスタ,兵庫県,西宮市,雲井町５番５号,6620064,https://www.lafesta.ne.jp/,https://lafesta.shop/,食品・飲料、ペット・園芸
1140001000587,トリポブス株式会社,兵庫県,西宮市,南甲子園１丁目９番１−９０８号,6638153,https://data-link-plus.com/jp/corporation/1140001000587,,アパレル・ファッション
1140001000884,株式会社ロータリー,兵庫県,西宮市,山口町下山口４丁目１８番８号,6511412,https://www.rotary.org/ja,https://www.octon.co.jp/,健康・サプリ
1140001012384,愛和木材株式会社,兵庫県,西宮市,南越木岩町１４番１９−３０４号,6620075,https://www.ai-wa.com/news,https://www.mokuzaikako.com/,食品・飲料、雑貨・インテリア
1140001021617,株式会社神戸プラン,兵庫県,西宮市,神原１５−１５−１０１,6620021,https://planbase.co.jp/,,食品・飲料
1140001029783,株式会社Ｇネット,兵庫県,西宮市,今津二葉町３番１０号,6638228,https://g-net.co.jp/news,https://g-net.co.jp/news,健康・サプリ
1140001031062,株式会社ＪＯＹＶＯＩＣＥ,兵庫県,西宮市,津門川町３番１号,6638233,https://joy-voice.co.jp/,,アパレル・ファッション、健康・サプリ
1140001048577,株式会社グリーンケア,兵庫県,西宮市,甲子園砂田町７番５−１１７号,6638162,https://green-care.com/company/,https://gos.caresupply.co.jp/login.aspx,アパレル・ファッション、ペット・園芸
1140001049039,株式会社三和總業,兵庫県,西宮市,鳴尾浜２丁目１番３８号,6638142,https://kk-sanwa.jp/,https://kk-sanwa.jp/,アパレル・ファッション、スポーツ・アウトドア、健康・サプリ
1140001051548,株式会社三輪アルミ建材,兵庫県,西宮市,両度町５番１−３０２号,6620841,https://www.miwaarumi.com/,,アパレル・ファッション、ペット・園芸
1140001053536,株式会社ＭＢＡ,兵庫県,西宮市,甲子園口１丁目１４−６ミニヨンコート１０１,6638113,https://mba-international.jp/,https://store.kimuratan.jp/,ペット・園芸
1140001066983,株式会社グリーン,兵庫県,西宮市,山口町名来２丁目６番２７号,6511411,https://www.green-japan.com/,https://www.gc-select.com/,アパレル・ファッション、スポーツ・アウトドア、ペット・園芸
1140001067783,株式会社赤田内装,兵庫県,西宮市,笠屋町１３番３４号,6638136,https://www.kensetumap.com/company/384348/profile.php,,雑貨・インテリア
1140001067800,アシックス物流株式会社,兵庫県,西宮市,山口町阪神流通センター１丁目２番地,6511431,https://www.asics-trading.co.jp/company/corporateprofile.html,https://www.asics-trading.co.jp/company/corporateprofile.html,食品・飲料、アパレル・ファッション、スポーツ・アウトドア
1140001067833,株式会社アーク保険サービス,兵庫県,西宮市,田代町１０番６号４０９,6638201,https://www.arkhoken.com/,,食品・飲料、アパレル・ファッション
1140001067858,株式会社アクア,兵庫県,西宮市,菊谷町８番３１号,6620078,https://aqua-has.com/,,食品・飲料、雑貨・インテリア
1140001067908,株式会社有田屋,兵庫県,西宮市,久保町８番１９号,6620927,https://aritaya.com/,https://aritaya.com/,食品・飲料
1140001067916,株式会社有馬屋,兵庫県,西宮市,山口町阪神流通センター１丁目７１番地,6511431,https://arimaya.jp/,https://shop.arimuraya.co.jp/,食品・飲料、雑貨・インテリア、ペット・園芸
1140001067924,イエローホーム株式会社,兵庫県,西宮市,分銅町３番２４号,6620042,https://yellows.co.jp/,,アパレル・ファッション、雑貨・インテリア
1140001067949,石田石油株式会社,兵庫県,西宮市,獅子ケ口町１番１号,6620026,https://yume-gr.jp/company,https://yume-gr.jp/company,アパレル・ファッション、スポーツ・アウトドア、健康・サプリ
1140001067973,一瀬産業株式会社,兵庫県,西宮市,若松町５番２２号,6620035,https://www.insins.co.jp/,https://www.insins.co.jp/,食品・飲料
1140001067981,株式会社一力,兵庫県,西宮市,桜谷町４番１５号,6620032,https://1riki.jp/pages/5/,https://1riki.jp/pages/5/,食品・飲料
1140001067998,株式会社今井工務店,兵庫県,西宮市,鳴尾町５丁目４番１９号,6638184,https://imaikoumuten.com/,,ペット・園芸
1140001068006,株式会社イムラインターナショナル,兵庫県,西宮市,深谷町９番２６号,6620067,https://www.imura.co.jp/,https://www.imura.co.jp/,食品・飲料、健康・サプリ
1140001068014,株式会社ヴィーナ,兵庫県,西宮市,西宮浜２丁目２１番２,6620934,https://venaenergy.co.jp/company,https://venusplatinum.jp/,食品・飲料、アパレル・ファッション、コスメ・美容、ペット・園芸
1140001068055,梅原建設株式会社,兵庫県,西宮市,西平町８番１４号,6620093,https://ume-ken.com/,https://ume-ken.com/,食品・飲料、アパレル・ファッション、ペット・園芸
1140001068071,エースハウス株式会社,兵庫県,西宮市,甲子園町５番７号,6638152,https://www.acehome.co.jp/,https://www.acehome.co.jp/,食品・飲料、雑貨・インテリア
1140001068096,株式会社えぐち,兵庫県,西宮市,生瀬高台１４番８号,6691111,https://k-eguchi.jp/,https://eguchishouten.com/,食品・飲料、ペット・園芸
1140001068146,株式会社インター・ナレッジ,兵庫県,西宮市,清水町３番３０−１０２号,6620033,https://inter-kn.com/,,食品・飲料
1140001068204,大澤本家酒造株式会社,兵庫県,西宮市,東町１丁目１３番２８号,6620922,http://ohsawasyuzo.com/index.html,https://shop.ohzawa.jp/,食品・飲料、雑貨・インテリア
1140001068245,株式会社岡本木型製作所,兵庫県,西宮市,鳴尾浜１丁目６番３０号,6638142,https://www.okamotokigata.net/,https://shop.okamotogroup.com/,食品・飲料
1140001068253,株式会社オザキ,兵庫県,西宮市,津門大塚町５番２２号,6638241,https://www.ph-ozaki.co.jp/,https://www.ph-ozaki.co.jp/,食品・飲料、アパレル・ファッション、雑貨・インテリア
1140001068278,甲斐建設株式会社,兵庫県,西宮市,鷲林寺２丁目１２番１０号,6620004,https://www.kai-ken.jp/,https://www.npa.go.jp/bureau/cyber/countermeasures/fake-shop.html,アパレル・ファッション
1140001068311,株式会社関西明治屋商店,兵庫県,西宮市,上田中町７番５号,6638134,https://www.meidi-ya.co.jp/,https://www.meidi-ya.co.jp/,食品・飲料
1140001068360,金田運輸株式会社,兵庫県,西宮市,前浜町３番３６号,6620931,https://kaneda-unyu.co.jp/,https://www.kana.jp/,食品・飲料、雑貨・インテリア、健康・サプリ
1140001068385,株式会社カワキ屋クリーニング店,兵庫県,西宮市,西宮浜２丁目２１番８号,6620934,https://www.idcgroup.co.jp/1568,https://www.idcgroup.co.jp/1568,アパレル・ファッション
1140001068410,株式会社カワラブキ,兵庫県,西宮市,越水町１番３号,6620864,https://data-link-plus.com/jp/corporation/1140001068410,,アパレル・ファッション
1140001068435,株式会社近畿ブラインド製作所,兵庫県,西宮市,上甲子園４丁目８番２７号,6638114,https://www.k-kinki.com/curtain/curtain-brind/,https://www.k-kinki.com/curtain/curtain-brind/,アパレル・ファッション、雑貨・インテリア、ペット・園芸
1140001068468,北村産業株式会社,兵庫県,西宮市,苦楽園三番町３番２号,6620081,https://kitamuraindustry.co.jp/,https://kitamuraindustry.co.jp/,健康・サプリ
1140001068492,株式会社協同食品センター,兵庫県,西宮市,鳴尾浜３丁目１７番地,6638142,https://kyoshoku-c.co.jp/,https://kyodo-food.co.jp/,食品・飲料
1140001068518,株式会社清鶴工務店,兵庫県,西宮市,室川町１番２１号クリエイテイブ中西１階１０１号,6620863,https://n-seikei.jp/2025/07/post-111940.html,https://www.npa.go.jp/bureau/cyber/countermeasures/fake-shop.html,食品・飲料、アパレル・ファッション、スポーツ・アウトドア、健康・サプリ
1140001068526,功光株式会社,兵庫県,西宮市,生瀬町２丁目３番１０−１０１号,6691102,https://www.metals.proterial.com/,https://www.e-hisamitsu.jp/shop/,健康・サプリ
1140001068534,株式会社国松工務店,兵庫県,西宮市,今津野田町２番２４号,6638212,https://kunimatsu.info/,https://www.aunworks.jp/,食品・飲料、雑貨・インテリア、健康・サプリ
1140001068542,株式会社クリーン・エステイト,兵庫県,西宮市,今津水波町８番５−１０２号,6638215,https://www.clean-estate.net/,https://www.clean-estate.net/,食品・飲料、雑貨・インテリア、ペット・園芸
1140001068575,株式会社クラフト・ワークス,兵庫県,西宮市,高松町２１番９号,6638204,https://cwc.jp/,https://cwc.jp/,食品・飲料、アパレル・ファッション
1140001068591,株式会社ゲン・エステート,兵庫県,西宮市,苦楽園二番町６番２号,6620082,https://www.gen-estate.co.jp/,,食品・飲料
1140001068600,株式会社圭和商会,兵庫県,西宮市,戸崎町６番１７号,6638121,https://www.kiwayasbest.com/,https://www.kiwayasbest.com/,アパレル・ファッション
1140001068625,株式会社コアコーポレーション,兵庫県,西宮市,大畑町９番２号２０２,6620836,https://www.core.co.jp/,https://shop.comiczin.jp/user_data/order.php,食品・飲料
1140001068633,株式会社耕精,兵庫県,西宮市,甲子園浦風町１９番４号,6638165,https://koh-inc.jp/,https://koh-inc.jp/,食品・飲料
1140001068641,株式会社甲子園ガスセンター,兵庫県,西宮市,甲子園口３丁目３番２５号,6638113,https://koushien-gas.jp/,,雑貨・インテリア、スポーツ・アウトドア
1140001068658,甲子園ランド株式会社,兵庫県,西宮市,鳴尾浜１丁目１番地の１,6638142,https://koshien.hanshin.co.jp/,https://koshien.hanshin.co.jp/,食品・飲料、スポーツ・アウトドア
1140001068666,株式会社美研,兵庫県,西宮市,学文殿町１丁目２番２５号,6638182,https://www.biken-inc.co.jp/,,コスメ・美容、雑貨・インテリア、ペット・園芸
1140001068674,株式会社甲東園マーケット,兵庫県,西宮市,甲東園１丁目１番６−３１２号,6620812,https://www.lisolaterrace.com/,,食品・飲料、雑貨・インテリア、ペット・園芸
1140001068682,株式会社光沢堂,兵庫県,西宮市,甲子園口２丁目６番２５号,6638113,https://www.koukandou.co.jp/,https://kawauso.biz/,ペット・園芸、健康・サプリ
1140001068690,株式会社甲南水理,兵庫県,西宮市,伏原町３番１６号,6638031,https://www.kensetumap.com/company/351128/profile.php,https://www.npa.go.jp/bureau/cyber/countermeasures/fake-shop.html,食品・飲料、雑貨・インテリア
1140001068732,光陽産業株式会社,兵庫県,西宮市,甲子園口３丁目１４番７号,6638113,https://www.koyosangyo.co.jp/,https://www.koyosangyo.co.jp/,アパレル・ファッション
1140001068740,甲陽パンション株式会社,兵庫県,西宮市,能登町３番２２号,6620838,https://www.homes.co.jp/archive/b-15427405/,https://www.homes.co.jp/archive/b-15427405/,食品・飲料、スポーツ・アウトドア
1140001068757,国際シネマ株式会社,兵庫県,西宮市,馬場町１番４号,6620915,https://www.kokusaihoei.co.jp/,,食品・飲料、アパレル・ファッション、ペット・園芸
1140001068765,株式会社小杉マンション,兵庫県,西宮市,川添町１４番１９号,6620944,https://www.mecsumai.com/tph-musashikosugi-towers/,,雑貨・インテリア、健康・サプリ
1140001068773,株式会社五大,兵庫県,西宮市,名次町４番１２号,6620024,https://www.kk-godai.jp/,https://5-fifth.com/information/list,アパレル・ファッション
1140001068781,株式会社小西印刷所,兵庫県,西宮市,神楽町４番７号,6620977,https://www.konishi-p.co.jp/,https://onlineshop.smt.docomo.ne.jp/index.html,食品・飲料、コスメ・美容、健康・サプリ
1140001068823,株式会社サーブ,兵庫県,西宮市,北名次町１１番２５号サムアップ内,6620025,https://sarb.jp/,https://www.servo-uni.com/,アパレル・ファッション
1140001068831,三交株式会社,兵庫県,西宮市,南郷町３番４号,6620038,https://www.sanco.co.jp/,,食品・飲料、アパレル・ファッション
1140001068848,株式会社坂口材木店,兵庫県,西宮市,甲風園３丁目１４番５号,6620832,https://www.sakaguchi.ne.jp/,https://www.mokuzaikako.com/,食品・飲料、スポーツ・アウトドア
1140001068864,株式会社サン・グリーン,兵庫県,西宮市,六湛寺町１２番１０号,6620918,https://www.sungreen.co.jp/,,食品・飲料、雑貨・インテリア、スポーツ・アウトドア
1140001068889,株式会社佐藤国際機構,兵庫県,西宮市,門戸岡田町１１番３４号,6620826,https://www.sato.co.jp/,https://www.sato.co.jp/,食品・飲料、コスメ・美容
1140001068906,株式会社サンブリッジ,兵庫県,西宮市,今津水波町８番５−２０２号,6638215,https://www.sunbridge.com/,https://www.sunbridge-group.com/,食品・飲料、健康・サプリ
