法人番号,会社名,都道府県,市区町村,番地,郵便番号
8140001068445,株式会社木島組,兵庫県,西宮市,生瀬町２丁目２４番２１号,6691102
8140001068453,喜多興産株式会社,兵庫県,西宮市,老松町１５番１８−５０１号,6620085
8140001068461,北辰馬株式会社,兵庫県,西宮市,鞍掛町４番１６号,6620926
8140001068478,木村鉄工株式会社,兵庫県,西宮市,石刎町７番１１号,6620074
8140001068486,共英油化株式会社,兵庫県,西宮市,鳴尾浜１丁目１６番１２,6638142
8140001068494,株式会社キューピット,兵庫県,西宮市,里中町３丁目１番８号,6638183
8140001068503,協和実業株式会社,兵庫県,西宮市,津門仁辺町２番６−２０２号,6638246
8140001068511,協和物産株式会社,兵庫県,西宮市,樋ノ口町１丁目４番１４号,6638011
8140001068528,株式会社日下部設計事務所,兵庫県,西宮市,門戸荘１７番５０号,6620825
8140001068536,久保運輸株式会社,兵庫県,西宮市,西宮浜３丁目２番地４,6620934
8140001068560,苦楽園土地住宅株式会社,兵庫県,西宮市,大井手町８番２０号,6620036
8140001068569,株式会社クワタ,兵庫県,西宮市,甲風園１丁目４番９号,6620832
8140001068585,株式会社ケイ・エム商事,兵庫県,西宮市,上甲東園３丁目２番２６号,6620813
8140001068593,株式会社ケーツー,兵庫県,西宮市,甲子園浦風町２番３号,6638165
8140001068602,株式会社玄海,兵庫県,西宮市,産所町２番１１号,6620978
8140001068610,株式会社ケンハウス,兵庫県,西宮市,神原１４番４８−１０２号,6620021
8140001068619,甲栄興産株式会社,兵庫県,西宮市,二見町９番２６号,6638111
8140001068627,コウキ産業株式会社,兵庫県,西宮市,毘沙門町３番１５号,6620094
8140001068635,甲子園工業株式会社,兵庫県,西宮市,上甲子園３丁目６番１２号,6638114
8140001068643,株式会社甲子園花力,兵庫県,西宮市,甲子園口６丁目１８番１５号,6638113
8140001068651,甲子園電気株式会社,兵庫県,西宮市,上大市４丁目１３番２３号,6638003
8140001068668,株式会社交詢社,兵庫県,西宮市,戸崎町２番１９−３０１号,6638121
8140001068684,株式会社コーナン・メディカル,兵庫県,西宮市,宮西町１０番２９号,6620976
8140001068692,甲南電機株式会社,兵庫県,西宮市,上田東町４番９７号,6638133
8140001068701,幸北興産株式会社,兵庫県,西宮市,名次町１番１１号,6620024
8140001068726,光陽機械株式会社,兵庫県,西宮市,今津二葉町２番２０−８０４号,6638228
8140001068734,宏友住宅株式会社,兵庫県,西宮市,櫨塚町２番２号,6620854
8140001068767,コスモ技研株式会社,兵庫県,西宮市,六湛寺町２番２−３００２号,6620918
8140001068775,株式会社古塚建設,兵庫県,西宮市,名塩赤坂４７０７番１,6691149
8140001068783,小西殖産株式会社,兵庫県,西宮市,菊谷町９番５号,6620078
8140001068791,小林興業株式会社,兵庫県,西宮市,甲子園一番町５番２３号,6638171
8140001068800,小森商事株式会社,兵庫県,西宮市,甲子園口１丁目３番６−３０４号,6638113
8140001068809,サンエース株式会社,兵庫県,西宮市,甲子園八番町５番８号,6638178
8140001068817,株式会社サウザリー,兵庫県,西宮市,大浜町１番４１−６０６号,6620957
8140001068825,株式会社サンエル設備設計,兵庫県,西宮市,城ケ堀町２番２２号早川総合ビル４階,6620856
8140001068833,三光運送株式会社,兵庫県,西宮市,小松南町１丁目４番３号,6638124
8140001068841,株式会社サンコー金物,兵庫県,西宮市,小松南町２丁目１番１号,6638124
8140001068858,阪本竹材造園株式会社,兵庫県,西宮市,北昭和町１４番３号,6620833
8140001068866,櫻井商事株式会社,兵庫県,西宮市,今津曙町７番５号,6638214
8140001068882,三伸商事株式会社,兵庫県,西宮市,笠屋町２１番３号,6638136
8140001068890,株式会社佐藤総合鑑定,兵庫県,西宮市,新甲陽町８番８号,6620013
8140001068899,株式会社三宝,兵庫県,西宮市,甲子園口１丁目８番８−１０１号,6638113
8140001068908,サンモア株式会社,兵庫県,西宮市,山口町阪神流通センター１丁目７４番地,6511431
8140001068924,三洋ホーム株式会社,兵庫県,西宮市,津門川町５番８号,6638233
8140001068932,株式会社サンロイヤル,兵庫県,西宮市,産所町１１番２５号,6620978
8140001068949,マイアット株式会社,兵庫県,西宮市,末広町２番９号,6620041
8140001068957,新栄鉄工株式会社,兵庫県,西宮市,上大市２丁目８番２７号,6638003
8140001068973,株式会社シーバス,兵庫県,西宮市,中須佐町１番１１号,6620851
8140001068981,株式会社しんこう,兵庫県,西宮市,六湛寺町９番８号,6620918
8140001069014,株式会社深秀園,兵庫県,西宮市,池田町７番１９号,6620911
8140001069022,株式会社伸拓不動産,兵庫県,西宮市,松籟荘７番２８号,6620822
8140001069039,渋谷商事株式会社,兵庫県,西宮市,鞍掛町２番９号,6620926
8140001069047,清水電装株式会社,兵庫県,西宮市,鳴尾浜１丁目６番地の２,6638142
8140001069055,松栄商事株式会社,兵庫県,西宮市,中島町９番１０号,6638105
8140001069071,株式会社管理技術ラボ,兵庫県,西宮市,大谷町１１番３５−６３１号,6620054
8140001069088,夙川ハウス株式会社,兵庫県,西宮市,川東町５番６号,6620945
8140001069113,株式会社白石興産,兵庫県,西宮市,段上町６丁目２４番５号,6638006
8140001069121,株式会社白木工務店,兵庫県,西宮市,川西町８番１３号,6620951
8140001069154,鈴木運送株式会社,兵庫県,西宮市,西宮浜２丁目６番地の３,6620934
8140001069162,須田金物株式会社,兵庫県,西宮市,里中町３丁目２番１号,6638183
8140001069170,株式会社角谷商店,兵庫県,西宮市,山口町下山口３丁目１１番９号,6511412
8140001069195,株式会社聖和サービス,兵庫県,西宮市,松籟荘２番１７号,6620822
8140001069204,千刈興産株式会社,兵庫県,西宮市,上ケ原一番町１番１５５号,6620891
8140001069212,株式会社センターゴム研究所,兵庫県,西宮市,今津山中町１２番１８号,6638211
