法人番号,会社名,都道府県,市区町村,番地,郵便番号
4140001069513,テス販売株式会社,兵庫県,西宮市,今在家町１番８号,6620972
4140001069521,株式会社デリカ・ハンシン,兵庫県,西宮市,西宮浜４丁目１番１５号,6620934
4140001069538,東伸貿易株式会社,兵庫県,西宮市,甲子園洲鳥町４番２６号,6638151
4140001069562,東洋土地建物株式会社,兵庫県,西宮市,甲子園口２丁目２２番８号,6638113
4140001069570,東和ハイム株式会社,兵庫県,西宮市,市庭町１番２７号,6620975
4140001069579,株式会社利重貿易,兵庫県,西宮市,池田町９番７号,6620911
4140001069587,富雄工業株式会社,兵庫県,西宮市,上甲東園４丁目５番１３号,6620813
4140001069595,株式会社ともだちや,兵庫県,西宮市,上大市５丁目１番７号,6638003
4140001069629,株式会社中善,兵庫県,西宮市,中前田町５番３１号,6620857
4140001069637,株式会社中寿美花壇,兵庫県,西宮市,新甲陽町５番２号,6620013
4140001069645,長澤株式会社,兵庫県,西宮市,花園町９番２２号,6638187
4140001069661,中本産業株式会社,兵庫県,西宮市,甲子園九番町１４番１号,6638179
4140001069686,株式会社難波工務店,兵庫県,西宮市,山口町名来１丁目６番３号,6511411
4140001069694,株式会社鳴尾化学研究所,兵庫県,西宮市,浜甲子園２丁目１３番１８号,6638154
4140001069703,ニーネ株式会社,兵庫県,西宮市,青木町１０番２５号,6620862
4140001069711,株式会社西建,兵庫県,西宮市,南郷町９番４０号,6620038
4140001069728,西日本ハウス株式会社,兵庫県,西宮市,戸崎町４番２０号,6638121
4140001069736,西村ガス住設株式会社,兵庫県,西宮市,産所町１１番１６号,6620978
4140001069752,株式会社日建コンサルタント,兵庫県,西宮市,西田町６番２号,6620034
4140001069760,日世産業株式会社,兵庫県,西宮市,門前町１１番４号,6638013
4140001069777,日東建設株式会社,兵庫県,西宮市,奥畑８番３７−６０１号,6620022
4140001069785,日冷工業株式会社,兵庫県,西宮市,鳴尾町１丁目１８番１２号,6638184
4140001069793,日本クーラー株式会社,兵庫県,西宮市,津門大箇町３番２１号,6638243
4140001069802,日本キトサン株式会社,兵庫県,西宮市,下大市西町１３番２３号,6638005
4140001069810,日本浄水株式会社,兵庫県,西宮市,霞町５番１６号,6620052
4140001069827,日本容器商事株式会社,兵庫県,西宮市,鳴尾浜２丁目１４番地,6638142
4140001069843,株式会社西宮カーゴ,兵庫県,西宮市,西宮浜３丁目１２−９,6620934
4140001069851,株式会社西宮建設会館,兵庫県,西宮市,六湛寺町１２番１２号,6620918
4140001069868,西宮食糧株式会社,兵庫県,西宮市,西宮浜３丁目１０番地,6620934
4140001069876,Ｓｔｅｌｌａ　ＰＭ株式会社,兵庫県,西宮市,櫨塚町３番５号,6620854
4140001069918,株式会社ハーベル,兵庫県,西宮市,甲子園口北町１９番１６号,6638112
4140001069926,株式会社阪急塚口教育センター,兵庫県,西宮市,甲風園１丁目５番２４号,6620832
4140001069934,ハザマア株式会社,兵庫県,西宮市,産所町２番１０号,6620978
4140001069942,バンドール株式会社,兵庫県,西宮市,神楽町８番１８−２０２号,6620977
4140001069950,株式会社八番館,兵庫県,西宮市,小松西町１丁目１番２号,6638125
4140001069959,株式会社バンノハウジング,兵庫県,西宮市,仁川町３丁目１６番３８号,6620811
4140001069967,浜甲建設株式会社,兵庫県,西宮市,浜甲子園３丁目７番１０号,6638154
4140001069975,株式会社ハマ・サンディスクール,兵庫県,西宮市,甲風園１丁目５番２４号,6620832
4140001069983,林重産業株式会社,兵庫県,西宮市,城ケ堀町２番２０号,6620856
4140001069991,株式会社原商店,兵庫県,西宮市,西宮浜２丁目４２番地,6620934
4140001070000,株式会社ハンシン,兵庫県,西宮市,学文殿町１丁目１０番２７号,6638182
4140001070017,阪神器化学株式会社,兵庫県,西宮市,今津水波町１０番１８号,6638215
4140001070025,株式会社阪神精機工作所,兵庫県,西宮市,鳴尾浜１丁目６番４６号,6638142
4140001070033,阪神低温株式会社,兵庫県,西宮市,神楽町１２番１９号,6620977
4140001070066,東村産業株式会社,兵庫県,西宮市,堤町５番３８号,6638012
4140001070074,株式会社ヒサ,兵庫県,西宮市,北昭和町１０番２５号,6620833
4140001070082,株式会社ヒッツエンタープライズ,兵庫県,西宮市,石在町１９番３２号,6620928
4140001070099,兵庫トランスポート株式会社,兵庫県,西宮市,西宮浜１丁目４０番地の１,6620934
4140001070108,株式会社ヒューム,兵庫県,西宮市,城ケ堀町３番１−４０３号,6620856
4140001070124,株式会社博,兵庫県,西宮市,甲子園二番町２１番１号,6638172
